,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,83074.0,53723.440498832366,33477.958293625226,0.0,24171.25,50685.5,80779.75,113999.0
popularity,83074.0,34.72099573873896,19.52680660335988,0.0,21.0,35.0,49.0,100.0
duration_ms,83074.0,231276.52272672558,115830.5987632912,8586.0,173893.0,215239.0,267069.75,5237295.0
danceability,83074.0,0.5594406456893853,0.1772956083095792,0.0,0.447,0.573,0.69,0.985
energy,83074.0,0.6348643470195247,0.2584357511021887,0.0,0.455,0.678,0.856,1.0
key,83074.0,5.284096107085249,3.557798187110057,0.0,2.0,5.0,8.0,11.0
loudness,83074.0,-8.587417158196306,5.284651678313007,-49.531,-10.456,-7.2645,-5.1392500000000005,4.532
mode,83074.0,0.6338084117774514,0.4817656098244951,0.0,0.0,1.0,1.0,1.0
speechiness,83074.0,0.08852138334496955,0.1158096896318065,0.0,0.036,0.049,0.0865,0.965
acousticness,83074.0,0.3299852556010304,0.33997585666436825,0.0,0.016,0.191,0.63,0.996
instrumentalness,83074.0,0.18259495909598672,0.33012311349177165,0.0,0.0,8.35e-05,0.14,1.0
liveness,83074.0,0.21942947384259814,0.19774977674154062,0.0,0.0985,0.133,0.282,1.0
valence,83074.0,0.4649825885475601,0.2634110638099262,0.0,0.243,0.451,0.678,0.995
tempo,83074.0,122.1494527650047,30.094000949722975,0.0,99.49425,122.027,140.124,243.372
time_signature,83074.0,3.897224161590871,0.4551363889983767,0.0,4.0,4.0,4.0,5.0
